epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
8,1,211,0.6419,0.422,0.9307,0.4115,0.9322
8,2,212,0.6891,0.4195,0.9308,0.4092,0.9316
8,3,213,0.6194,0.4158,0.9312,0.4061,0.9323
8,4,214,0.6816,0.413,0.9316,0.4035,0.9319
8,5,215,0.652,0.4105,0.9321,0.4005,0.9333
8,6,216,0.6232,0.4082,0.932,0.3984,0.9335
8,7,217,0.6391,0.4075,0.9325,0.3983,0.9336
8,8,218,0.6541,0.4048,0.9329,0.3951,0.9332
8,9,219,0.6812,0.4011,0.9327,0.3914,0.9331
8,10,220,0.6487,0.3982,0.9336,0.3889,0.9343
8,11,221,0.6695,0.3957,0.9339,0.3874,0.9341
8,12,222,0.6437,0.3955,0.9334,0.3867,0.9334
8,13,223,0.6305,0.3933,0.9343,0.3844,0.9344
8,14,224,0.6339,0.3904,0.9346,0.3825,0.9339
8,15,225,0.6349,0.3877,0.935,0.3802,0.9353
8,16,226,0.6252,0.3851,0.9351,0.3766,0.935
8,17,227,0.6241,0.3827,0.9356,0.3744,0.9367
8,18,228,0.5818,0.381,0.9352,0.3735,0.9356
8,19,229,0.6374,0.3798,0.9349,0.3714,0.9355
8,20,230,0.5977,0.3788,0.9354,0.3697,0.9363
8,21,231,0.6239,0.3772,0.9354,0.3683,0.937
8,22,232,0.6236,0.3748,0.9368,0.3666,0.9369
8,23,233,0.6343,0.3727,0.9361,0.3639,0.9383
8,24,234,0.6183,0.3705,0.9361,0.3611,0.9375
8,25,235,0.6066,0.3685,0.9364,0.3594,0.9378
8,26,236,0.6443,0.3656,0.9364,0.357,0.9382
8,27,237,0.6218,0.3649,0.9361,0.3565,0.9378
8,28,238,0.5955,0.3633,0.9364,0.3549,0.9386
8,29,239,0.6285,0.3624,0.9365,0.3542,0.9392
8,30,240,0.7211,0.3601,0.9368,0.3524,0.9383
9,1,241,0.5923,0.3593,0.9354,0.3516,0.9384
9,2,242,0.5779,0.3588,0.936,0.3507,0.9387
9,3,243,0.6385,0.3555,0.9367,0.3474,0.9386
9,4,244,0.6082,0.3544,0.9375,0.3468,0.9387
