epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
9,28,268,1.4805,1.3079,0.7073,1.2964,0.712
9,29,269,1.4441,1.3056,0.7083,1.2942,0.7126
9,30,270,1.4161,1.3027,0.7103,1.291,0.7159
10,1,271,1.4209,1.2995,0.7097,1.2879,0.7142
10,2,272,1.4532,1.2977,0.71,1.2861,0.7154
10,3,273,1.4613,1.2946,0.7099,1.283,0.7148
10,4,274,1.4493,1.2922,0.7108,1.2804,0.716
10,5,275,1.4481,1.2906,0.7103,1.2788,0.7158
10,6,276,1.4346,1.2882,0.7108,1.2762,0.717
10,7,277,1.4266,1.2859,0.7112,1.2739,0.7173
10,8,278,1.4417,1.2847,0.7116,1.2727,0.7181
10,9,279,1.4634,1.2816,0.7121,1.2695,0.7194
10,10,280,1.4442,1.2793,0.7118,1.2673,0.7183
10,11,281,1.4571,1.2781,0.7116,1.266,0.7187
10,12,282,1.4422,1.275,0.7116,1.2633,0.7176
10,13,283,1.4449,1.271,0.7117,1.2592,0.7181
10,14,284,1.4375,1.269,0.7129,1.2573,0.7202
10,15,285,1.4152,1.2675,0.7136,1.2557,0.7217
10,16,286,1.4224,1.266,0.7147,1.2542,0.7228
10,17,287,1.4496,1.2643,0.7155,1.2523,0.7236
10,18,288,1.4374,1.262,0.7156,1.2501,0.7233
10,19,289,1.4287,1.2586,0.7159,1.2468,0.7234
10,20,290,1.4454,1.2563,0.716,1.2444,0.724
10,21,291,1.4298,1.2543,0.7155,1.2423,0.7226
10,22,292,1.4278,1.2516,0.7154,1.2397,0.7224
10,23,293,1.4057,1.2504,0.7159,1.2384,0.7226
10,24,294,1.4042,1.2484,0.7161,1.2363,0.7231
10,25,295,1.4677,1.2464,0.7151,1.2345,0.7219
10,26,296,1.4205,1.2461,0.7161,1.234,0.7233
10,27,297,1.4121,1.2437,0.7174,1.2315,0.7234
10,28,298,1.4428,1.2411,0.7165,1.2289,0.7229
10,29,299,1.3964,1.2403,0.7165,1.2282,0.7224
10,30,300,1.4386,1.2381,0.7176,1.2259,0.7227
11,1,301,1.4289,1.2369,0.7196,1.2247,0.7257
11,2,302,1.401,1.2353,0.7202,1.2232,0.7269
11,3,303,1.4246,1.2315,0.7209,1.2195,0.7275
11,4,304,1.3996,1.23,0.7216,1.2178,0.7278
11,5,305,1.4234,1.2278,0.722,1.2157,0.7286
11,6,306,1.4022,1.2258,0.7217,1.2136,0.7284
11,7,307,1.4285,1.2238,0.722,1.2117,0.7289
11,8,308,1.4097,1.222,0.722,1.2099,0.7283
11,9,309,1.3993,1.22,0.7218,1.2079,0.7282
11,10,310,1.3994,1.2187,0.7223,1.2065,0.729
11,11,311,1.4216,1.2164,0.7232,1.2042,0.7296
11,12,312,1.4377,1.2136,0.7235,1.2012,0.7305
11,13,313,1.4171,1.2109,0.7244,1.1984,0.7324
11,14,314,1.4154,1.2089,0.7245,1.1962,0.732
11,15,315,1.4069,1.2064,0.7238,1.1936,0.7305
11,16,316,1.3893,1.2051,0.7239,1.1922,0.7312
11,17,317,1.4068,1.2028,0.7241,1.19,0.7315
11,18,318,1.399,1.2021,0.7253,1.1892,0.7327
11,19,319,1.3588,1.2008,0.726,1.1879,0.7347
11,20,320,1.4019,1.1981,0.7261,1.1851,0.7344
11,21,321,1.409,1.1963,0.7263,1.1834,0.7344
11,22,322,1.4199,1.1955,0.7275,1.1826,0.7361
11,23,323,1.3956,1.1945,0.7282,1.1816,0.7361
11,24,324,1.4099,1.192,0.7282,1.179,0.7351
11,25,325,1.3915,1.1905,0.7288,1.1777,0.7366
11,26,326,1.3755,1.1904,0.7295,1.1776,0.7366
11,27,327,1.4207,1.1877,0.7295,1.175,0.7362
11,28,328,1.4336,1.1853,0.73,1.1726,0.7368
11,29,329,1.3993,1.1833,0.7307,1.1706,0.7369
11,30,330,1.4211,1.1829,0.7307,1.1701,0.7382
12,1,331,1.3664,1.1804,0.7301,1.1676,0.7366
12,2,332,1.3989,1.178,0.7303,1.1649,0.737
12,3,333,1.3904,1.1767,0.7314,1.1637,0.7387
12,4,334,1.4037,1.1746,0.7317,1.1615,0.7395
12,5,335,1.4082,1.172,0.7331,1.1589,0.7414
12,6,336,1.373,1.1709,0.7332,1.1576,0.7416
12,7,337,1.3851,1.1689,0.7332,1.1557,0.7415
12,8,338,1.4081,1.167,0.7333,1.1536,0.7406
12,9,339,1.3723,1.1645,0.7351,1.1513,0.7437
12,10,340,1.3745,1.1627,0.7357,1.1494,0.7446
12,11,341,1.3856,1.1601,0.7369,1.1468,0.7462
12,12,342,1.3887,1.1576,0.7369,1.1443,0.7464
12,13,343,1.3569,1.1558,0.7372,1.1425,0.7471
12,14,344,1.3685,1.155,0.7375,1.1418,0.7478
12,15,345,1.4204,1.1534,0.7375,1.1402,0.7476
12,16,346,1.3663,1.151,0.738,1.138,0.748
12,17,347,1.3925,1.1491,0.7385,1.1359,0.749
12,18,348,1.3746,1.1478,0.7385,1.1346,0.7481
12,19,349,1.3664,1.1456,0.7376,1.1324,0.7471
12,20,350,1.391,1.1432,0.7378,1.13,0.7469
12,21,351,1.363,1.1408,0.7385,1.1274,0.7478
12,22,352,1.383,1.1392,0.7378,1.1257,0.7462
12,23,353,1.4074,1.138,0.7385,1.1245,0.747
12,24,354,1.3777,1.1371,0.7398,1.1234,0.749
12,25,355,1.3847,1.1361,0.7397,1.1223,0.7485
12,26,356,1.3867,1.1338,0.7399,1.1198,0.7488
12,27,357,1.3579,1.1343,0.7421,1.1203,0.7509
